Ruangan,mac,RSSI,Lantai
Ruang kabag umum (LT2),06:0D:9E:A8:8E:6D,-82,2
Ruang kabag umum (LT2),06:0D:9E:A8:8E:6D,-87,2
Ruang kabag umum (LT2),06:0D:9E:A8:8E:6D,-80,2
Ruang kabag umum (LT2),06:0D:9E:A8:8E:6D,-84,2
Ruang kabag umum (LT2),06:0D:9E:A8:8E:6D,-81,2
Sekretaris lppm (LT3),06:0D:9E:A8:8B:7D,-49,3
Sekretaris lppm (LT3),06:0D:9E:A8:8B:7D,-52,3
Sekretaris lppm (LT3),06:0D:9E:A8:8B:7D,-52,3
Sekretaris lppm (LT3),06:0D:9E:A8:8B:7D,-46,3
Sekretaris lppm (LT3),06:0D:9E:A8:8B:7D,-52,3
Sekretaris lppm (LT3),06:0D:9E:A8:8B:7D,-54,3
Sekretaris lppm (LT3),06:0D:9E:A8:8B:7D,-52,3
Sekretaris lppm (LT3),06:0D:9E:A8:8B:7D,-51,3
Sekretaris lppm (LT3),06:0D:9E:A8:8B:7D,-56,3
Sekretaris lppm (LT3),06:0D:9E:A8:8B:7D,-53,3
Toilet 1 samping kepala biro (LT2),06:0D:9E:A8:8E:6D,-67,2
Toilet 1 samping kepala biro (LT2),06:0D:9E:A8:8E:6D,-69,2
Toilet 1 samping kepala biro (LT2),06:0D:9E:A8:8E:6D,-64,2
Toilet 1 samping kepala biro (LT2),06:0D:9E:A8:8E:6D,-66,2
Toilet 1 samping kepala biro (LT2),06:0D:9E:A8:8E:6D,-67,2
Toilet 1 samping kepala biro (LT2),06:0D:9E:A8:8E:6D,-62,2
Toilet 1 samping kepala biro (LT2),06:0D:9E:A8:8E:6D,-63,2
Toilet 1 samping kepala biro (LT2),06:0D:9E:A8:8E:6D,-68,2
Toilet 1 samping kepala biro (LT2),06:0D:9E:A8:8E:6D,-62,2
Toilet 1 samping kepala biro (LT2),06:0D:9E:A8:8E:6D,-62,2
area pintu depan (LT2),06:0D:9E:A8:8E:69,-69,2
area pintu depan (LT2),06:0D:9E:A8:8E:69,-70,2
area pintu depan (LT2),06:0D:9E:A8:8E:69,-67,2
area pintu depan (LT2),06:0D:9E:A8:8E:69,-68,2
area pintu depan (LT2),06:0D:9E:A8:8E:69,-68,2
area pintu depan (LT2),06:0D:9E:A8:8E:69,-66,2
area pintu depan (LT2),06:0D:9E:A8:8E:69,-65,2
area pintu depan (LT2),06:0D:9E:A8:8E:69,-71,2
area pintu depan (LT2),06:0D:9E:A8:8E:69,-67,2
area pintu depan (LT2),06:0D:9E:A8:8E:69,-66,2
area tunggu depan lift (LT1),06:0D:9E:A8:8E:69,-52,1
area tunggu depan lift (LT1),06:0D:9E:A8:8E:69,-53,1
area tunggu depan lift (LT1),06:0D:9E:A8:8E:69,-55,1
area tunggu depan lift (LT1),06:0D:9E:A8:8E:69,-50,1
area tunggu depan lift (LT1),06:0D:9E:A8:8E:69,-53,1
area tunggu depan lift (LT1),06:0D:9E:A8:8E:69,-52,1
area tunggu depan lift (LT1),06:0D:9E:A8:8E:69,-56,1
area tunggu depan lift (LT1),06:0D:9E:A8:8E:69,-57,1
area tunggu depan lift (LT1),06:0D:9E:A8:8E:69,-57,1
area tunggu depan lift (LT1),06:0D:9E:A8:8E:69,-48,1
depan lift 2 (LT2),06:70:AB:A7:AB:8B,-53,2
depan lift 2 (LT2),06:70:AB:A7:AB:8B,-56,2
depan lift 2 (LT2),06:70:AB:A7:AB:8B,-52,2
depan lift 2 (LT2),06:70:AB:A7:AB:8B,-53,2
depan lift 2 (LT2),06:70:AB:A7:AB:8B,-55,2
depan lift 2 (LT2),06:70:AB:A7:AB:8B,-50,2
depan lift 2 (LT2),06:70:AB:A7:AB:8B,-49,2
depan lift 2 (LT2),06:70:AB:A7:AB:8B,-58,2
depan lift 2 (LT2),06:70:AB:A7:AB:8B,-58,2
depan lift 2 (LT2),06:70:AB:A7:AB:8B,-51,2
kamar mandi belakang (LT1),06:0D:9E:A8:8A:98,-56,1
kamar mandi belakang (LT1),06:0D:9E:A8:8A:98,-56,1
kamar mandi belakang (LT1),06:0D:9E:A8:8A:98,-56,1
kamar mandi belakang (LT1),06:0D:9E:A8:8A:98,-58,1
kamar mandi belakang (LT1),06:0D:9E:A8:8A:98,-55,1
kamar mandi belakang (LT1),06:0D:9E:A8:8A:98,-54,1
kamar mandi belakang (LT1),06:0D:9E:A8:8A:98,-56,1
kamar mandi belakang (LT1),06:0D:9E:A8:8A:98,-61,1
kamar mandi belakang (LT1),06:0D:9E:A8:8A:98,-61,1
kamar mandi belakang (LT1),06:0D:9E:A8:8A:98,-51,1
lift (LT4),2A:D0:F5:9B:E3:13,-71,4
lift (LT4),2A:D0:F5:9B:E3:13,-68,4
lift (LT4),2A:D0:F5:9B:E3:13,-69,4
lift (LT4),2A:D0:F5:9B:E3:13,-74,4
lift (LT4),2A:D0:F5:9B:E3:13,-71,4
lift (LT4),2A:D0:F5:9B:E3:13,-68,4
lift (LT4),2A:D0:F5:9B:E3:13,-67,4
lift (LT4),2A:D0:F5:9B:E3:13,-66,4
lift (LT4),2A:D0:F5:9B:E3:13,-73,4
lift (LT4),2A:D0:F5:9B:E3:13,-76,4
lift belakang biro perencanaan (LT2),06:70:AB:A7:AB:8B,-46,2
lift belakang biro perencanaan (LT2),06:70:AB:A7:AB:8B,-43,2
lift belakang biro perencanaan (LT2),06:70:AB:A7:AB:8B,-45,2
lift belakang biro perencanaan (LT2),06:70:AB:A7:AB:8B,-43,2
lift belakang biro perencanaan (LT2),06:70:AB:A7:AB:8B,-48,2
lift belakang biro perencanaan (LT2),06:70:AB:A7:AB:8B,-45,2
lift belakang biro perencanaan (LT2),06:70:AB:A7:AB:8B,-49,2
lift belakang biro perencanaan (LT2),06:70:AB:A7:AB:8B,-46,2
lift belakang biro perencanaan (LT2),06:70:AB:A7:AB:8B,-49,2
lift belakang biro perencanaan (LT2),06:70:AB:A7:AB:8B,-45,2
loby tengah (LT1),06:0D:9E:25:7B:0A,-68,1
loby tengah (LT1),06:0D:9E:25:7B:0A,-71,1
loby tengah (LT1),06:0D:9E:25:7B:0A,-73,1
loby tengah (LT1),06:0D:9E:25:7B:0A,-69,1
loby tengah (LT1),06:0D:9E:25:7B:0A,-69,1
loby tengah (LT1),06:0D:9E:25:7B:0A,-75,1
loby tengah (LT1),06:0D:9E:25:7B:0A,-67,1
loby tengah (LT1),06:0D:9E:25:7B:0A,-72,1
loby tengah (LT1),06:0D:9E:25:7B:0A,-72,1
loby tengah (LT1),06:0D:9E:25:7B:0A,-72,1
lorong guad (LT4),06:0D:9E:25:7B:32,-53,4
lorong guad (LT4),06:0D:9E:25:7B:32,-50,4
lorong guad (LT4),06:0D:9E:25:7B:32,-54,4
lorong guad (LT4),06:0D:9E:25:7B:32,-56,4
lorong guad (LT4),06:0D:9E:25:7B:32,-54,4
lorong guad (LT4),06:0D:9E:25:7B:32,-59,4
lorong guad (LT4),06:0D:9E:25:7B:32,-49,4
lorong guad (LT4),06:0D:9E:25:7B:32,-53,4
lorong guad (LT4),06:0D:9E:25:7B:32,-53,4
lorong guad (LT4),06:0D:9E:25:7B:32,-52,4
lorong kamar mandi depan (LT1),06:0D:9E:A8:8E:A5,-59,1
lorong kamar mandi depan (LT1),06:0D:9E:A8:8E:A5,-58,1
lorong kamar mandi depan (LT1),06:0D:9E:A8:8E:A5,-57,1
lorong kamar mandi depan (LT1),06:0D:9E:A8:8E:A5,-58,1
lorong kamar mandi depan (LT1),06:0D:9E:A8:8E:A5,-56,1
lorong kamar mandi depan (LT1),06:0D:9E:A8:8E:A5,-63,1
lorong kamar mandi depan (LT1),06:0D:9E:A8:8E:A5,-60,1
lorong kamar mandi depan (LT1),06:0D:9E:A8:8E:A5,-57,1
lorong kamar mandi depan (LT1),06:0D:9E:A8:8E:A5,-63,1
lorong kamar mandi depan (LT1),06:0D:9E:A8:8E:A5,-56,1
lorong kepegawaian (LT2),06:0D:9E:A8:8A:5D,-59,2
lorong kepegawaian (LT2),06:0D:9E:A8:8A:5D,-57,2
lorong kepegawaian (LT2),06:0D:9E:A8:8A:5D,-56,2
lorong kepegawaian (LT2),06:0D:9E:A8:8A:5D,-58,2
lorong kepegawaian (LT2),06:0D:9E:A8:8A:5D,-58,2
lorong kepegawaian (LT2),06:0D:9E:A8:8A:5D,-61,2
lorong kepegawaian (LT2),06:0D:9E:A8:8A:5D,-51,2
lorong kepegawaian (LT2),06:0D:9E:A8:8A:5D,-59,2
lorong kepegawaian (LT2),06:0D:9E:A8:8A:5D,-52,2
lorong kepegawaian (LT2),06:0D:9E:A8:8A:5D,-53,2
lorong keuangan (LT2),06:0D:9E:25:76:6D,-49,2
lorong keuangan (LT2),06:0D:9E:25:76:6D,-51,2
lorong keuangan (LT2),06:0D:9E:25:76:6D,-48,2
lorong keuangan (LT2),06:0D:9E:25:76:6D,-51,2
lorong keuangan (LT2),06:0D:9E:25:76:6D,-52,2
lorong keuangan (LT2),06:0D:9E:25:76:6D,-46,2
lorong keuangan (LT2),06:0D:9E:25:76:6D,-52,2
lorong keuangan (LT2),06:0D:9E:25:76:6D,-50,2
lorong keuangan (LT2),06:0D:9E:25:76:6D,-49,2
lorong keuangan (LT2),06:0D:9E:25:76:6D,-46,2
lorong perencanaan (LT1),06:0D:9E:25:7B:19,-73,1
lorong perencanaan (LT1),06:0D:9E:25:7B:19,-72,1
lorong perencanaan (LT1),06:0D:9E:25:7B:19,-71,1
lorong perencanaan (LT1),06:0D:9E:25:7B:19,-70,1
lorong perencanaan (LT1),06:0D:9E:25:7B:19,-70,1
lorong perencanaan (LT1),06:0D:9E:25:7B:19,-73,1
lorong perencanaan (LT1),06:0D:9E:25:7B:19,-71,1
lorong perencanaan (LT1),06:0D:9E:25:7B:19,-69,1
lorong perencanaan (LT1),06:0D:9E:25:7B:19,-68,1
lorong perencanaan (LT1),06:0D:9E:25:7B:19,-73,1
lorong satuan pengawas internal (LT3),06:70:AB:A7:AB:7B,-51,3
lorong satuan pengawas internal (LT3),06:70:AB:A7:AB:7B,-48,3
lorong satuan pengawas internal (LT3),06:70:AB:A7:AB:7B,-54,3
lorong satuan pengawas internal (LT3),06:70:AB:A7:AB:7B,-50,3
lorong satuan pengawas internal (LT3),06:70:AB:A7:AB:7B,-49,3
lorong satuan pengawas internal (LT3),06:70:AB:A7:AB:7B,-54,3
lorong satuan pengawas internal (LT3),06:70:AB:A7:AB:7B,-47,3
lorong satuan pengawas internal (LT3),06:70:AB:A7:AB:7B,-54,3
lorong satuan pengawas internal (LT3),06:70:AB:A7:AB:7B,-56,3
lorong satuan pengawas internal (LT3),06:70:AB:A7:AB:7B,-58,3
lpmpp pembelajaran (LT3),06:0D:9E:25:7B:0A,-63,3
lpmpp pembelajaran (LT3),06:0D:9E:25:7B:0A,-64,3
lpmpp pembelajaran (LT3),06:0D:9E:25:7B:0A,-60,3
lpmpp pembelajaran (LT3),06:0D:9E:25:7B:0A,-62,3
lpmpp pembelajaran (LT3),06:0D:9E:25:7B:0A,-65,3
lpmpp pembelajaran (LT3),06:0D:9E:25:7B:0A,-61,3
lpmpp pembelajaran (LT3),06:0D:9E:25:7B:0A,-61,3
lpmpp pembelajaran (LT3),06:0D:9E:25:7B:0A,-61,3
lpmpp pembelajaran (LT3),06:0D:9E:25:7B:0A,-59,3
lpmpp pembelajaran (LT3),06:0D:9E:25:7B:0A,-60,3
pintu belakang (LT1),06:70:AB:A7:AB:8A,-66,1
pintu belakang (LT1),06:70:AB:A7:AB:8A,-65,1
pintu belakang (LT1),06:70:AB:A7:AB:8A,-63,1
pintu belakang (LT1),06:70:AB:A7:AB:8A,-63,1
pintu belakang (LT1),06:70:AB:A7:AB:8A,-64,1
pintu belakang (LT1),06:70:AB:A7:AB:8A,-65,1
pintu belakang (LT1),06:70:AB:A7:AB:8A,-69,1
pintu belakang (LT1),06:70:AB:A7:AB:8A,-68,1
pintu belakang (LT1),06:70:AB:A7:AB:8A,-67,1
pintu belakang (LT1),06:70:AB:A7:AB:8A,-67,1
rapat lpmpp (LT1),06:0D:9E:A8:88:D5,-68,1
rapat lpmpp (LT1),06:0D:9E:A8:88:D5,-65,1
rapat lpmpp (LT1),06:0D:9E:A8:88:D5,-65,1
rapat lpmpp (LT1),06:0D:9E:A8:88:D5,-70,1
rapat lpmpp (LT1),06:0D:9E:A8:88:D5,-69,1
rapat lpmpp (LT1),06:0D:9E:A8:88:D5,-68,1
rapat lpmpp (LT1),06:0D:9E:A8:88:D5,-73,1
rapat lpmpp (LT1),06:0D:9E:A8:88:D5,-62,1
rapat lpmpp (LT1),06:0D:9E:A8:88:D5,-73,1
rapat lpmpp (LT1),06:0D:9E:A8:88:D5,-68,1
ruang pertemuan (LT4),2A:D0:F5:9B:E3:13,-64,4
ruang pertemuan (LT4),2A:D0:F5:9B:E3:13,-66,4
ruang pertemuan (LT4),2A:D0:F5:9B:E3:13,-63,4
ruang pertemuan (LT4),2A:D0:F5:9B:E3:13,-67,4
ruang pertemuan (LT4),2A:D0:F5:9B:E3:13,-64,4
ruang pertemuan (LT4),2A:D0:F5:9B:E3:13,-69,4
ruang pertemuan (LT4),2A:D0:F5:9B:E3:13,-67,4
ruang pertemuan (LT4),2A:D0:F5:9B:E3:13,-69,4
ruang pertemuan (LT4),2A:D0:F5:9B:E3:13,-68,4
ruang pertemuan (LT4),2A:D0:F5:9B:E3:13,-64,4
ruang wakil rektor 1 (LT4),EA:D0:F5:9B:F4:2F,-58,4
ruang wakil rektor 1 (LT4),EA:D0:F5:9B:F4:2F,-55,4
ruang wakil rektor 1 (LT4),EA:D0:F5:9B:F4:2F,-59,4
ruang wakil rektor 1 (LT4),EA:D0:F5:9B:F4:2F,-57,4
ruang wakil rektor 1 (LT4),EA:D0:F5:9B:F4:2F,-61,4
ruang wakil rektor 1 (LT4),EA:D0:F5:9B:F4:2F,-54,4
ruang wakil rektor 1 (LT4),EA:D0:F5:9B:F4:2F,-59,4
ruang wakil rektor 1 (LT4),EA:D0:F5:9B:F4:2F,-58,4
ruang wakil rektor 1 (LT4),EA:D0:F5:9B:F4:2F,-55,4
ruang wakil rektor 1 (LT4),EA:D0:F5:9B:F4:2F,-51,4
ruang wakil rektor 3 (LT4),06:70:AB:A7:AA:B3,-64,4
ruang wakil rektor 3 (LT4),06:70:AB:A7:AA:B3,-66,4
ruang wakil rektor 3 (LT4),06:70:AB:A7:AA:B3,-61,4
ruang wakil rektor 3 (LT4),06:70:AB:A7:AA:B3,-63,4
ruang wakil rektor 3 (LT4),06:70:AB:A7:AA:B3,-67,4
ruang wakil rektor 3 (LT4),06:70:AB:A7:AA:B3,-60,4
ruang wakil rektor 3 (LT4),06:70:AB:A7:AA:B3,-62,4
ruang wakil rektor 3 (LT4),06:70:AB:A7:AA:B3,-62,4
ruang wakil rektor 3 (LT4),06:70:AB:A7:AA:B3,-69,4
ruang wakil rektor 3 (LT4),06:70:AB:A7:AA:B3,-61,4
ruang wakil rektor 4 (LT4),06:0D:9E:25:7A:DE,-64,4
ruang wakil rektor 4 (LT4),06:0D:9E:25:7A:DE,-61,4
ruang wakil rektor 4 (LT4),06:0D:9E:25:7A:DE,-66,4
ruang wakil rektor 4 (LT4),06:0D:9E:25:7A:DE,-66,4
ruang wakil rektor 4 (LT4),06:0D:9E:25:7A:DE,-66,4
ruang wakil rektor 4 (LT4),06:0D:9E:25:7A:DE,-68,4
ruang wakil rektor 4 (LT4),06:0D:9E:25:7A:DE,-61,4
ruang wakil rektor 4 (LT4),06:0D:9E:25:7A:DE,-61,4
ruang wakil rektor 4 (LT4),06:0D:9E:25:7A:DE,-68,4
ruang wakil rektor 4 (LT4),06:0D:9E:25:7A:DE,-56,4
ruang wakil rektorat (LT4),06:70:AB:A7:AA:FF,-62,4
ruang wakil rektorat (LT4),06:70:AB:A7:AA:FF,-65,4
ruang wakil rektorat (LT4),06:70:AB:A7:AA:FF,-59,4
ruang wakil rektorat (LT4),06:70:AB:A7:AA:FF,-59,4
ruang wakil rektorat (LT4),06:70:AB:A7:AA:FF,-60,4
ruang wakil rektorat (LT4),06:70:AB:A7:AA:FF,-55,4
ruang wakil rektorat (LT4),06:70:AB:A7:AA:FF,-61,4
ruang wakil rektorat (LT4),06:70:AB:A7:AA:FF,-61,4
ruang wakil rektorat (LT4),06:70:AB:A7:AA:FF,-60,4
ruang wakil rektorat (LT4),06:70:AB:A7:AA:FF,-59,4
ruangan rapat besar (LT4),EA:D0:F5:9B:F4:2F,-51,4
ruangan rapat besar (LT4),EA:D0:F5:9B:F4:2F,-51,4
ruangan rapat besar (LT4),EA:D0:F5:9B:F4:2F,-51,4
ruangan rapat besar (LT4),EA:D0:F5:9B:F4:2F,-53,4
ruangan rapat besar (LT4),EA:D0:F5:9B:F4:2F,-53,4
ruangan rapat besar (LT4),EA:D0:F5:9B:F4:2F,-50,4
ruangan rapat besar (LT4),EA:D0:F5:9B:F4:2F,-49,4
ruangan rapat besar (LT4),EA:D0:F5:9B:F4:2F,-47,4
ruangan rapat besar (LT4),EA:D0:F5:9B:F4:2F,-58,4
ruangan rapat besar (LT4),EA:D0:F5:9B:F4:2F,-56,4
sekretaris (LT4),06:70:AB:A7:AA:B2,-69,4
sekretaris (LT4),06:70:AB:A7:AA:B2,-66,4
sekretaris (LT4),06:70:AB:A7:AA:B2,-70,4
sekretaris (LT4),06:70:AB:A7:AA:B2,-68,4
sekretaris (LT4),06:70:AB:A7:AA:B2,-68,4
sekretaris (LT4),06:70:AB:A7:AA:B2,-68,4
sekretaris (LT4),06:70:AB:A7:AA:B2,-71,4
sekretaris (LT4),06:70:AB:A7:AA:B2,-74,4
sekretaris (LT4),06:70:AB:A7:AA:B2,-71,4
sekretaris (LT4),06:70:AB:A7:AA:B2,-73,4
staf lpmpp (LT3),06:0D:9E:25:7B:32,-75,3
staf lpmpp (LT3),06:0D:9E:25:7B:32,-78,3
staf lpmpp (LT3),06:0D:9E:25:7B:32,-73,3
staf lpmpp (LT3),06:0D:9E:25:7B:32,-72,3
staf lpmpp (LT3),06:0D:9E:25:7B:32,-73,3
staf lpmpp (LT3),06:0D:9E:25:7B:32,-70,3
staf lpmpp (LT3),06:0D:9E:25:7B:32,-72,3
staf lpmpp (LT3),06:0D:9E:25:7B:32,-77,3
staf lpmpp (LT3),06:0D:9E:25:7B:32,-76,3
staf lpmpp (LT3),06:0D:9E:25:7B:32,-70,3
toilet (LT3),06:70:AB:A7:AB:87,-60,3
toilet (LT3),06:70:AB:A7:AB:87,-60,3
toilet (LT3),06:70:AB:A7:AB:87,-60,3
toilet (LT3),06:70:AB:A7:AB:87,-58,3
toilet (LT3),06:70:AB:A7:AB:87,-61,3
toilet (LT3),06:70:AB:A7:AB:87,-63,3
toilet (LT3),06:70:AB:A7:AB:87,-60,3
toilet (LT3),06:70:AB:A7:AB:87,-54,3
toilet (LT3),06:70:AB:A7:AB:87,-57,3
toilet (LT3),06:70:AB:A7:AB:87,-62,3
toilet sebelah wakil rektorat (LT4),06:70:AB:A7:AB:83,-63,4
toilet sebelah wakil rektorat (LT4),06:70:AB:A7:AB:83,-65,4
toilet sebelah wakil rektorat (LT4),06:70:AB:A7:AB:83,-62,4
toilet sebelah wakil rektorat (LT4),06:70:AB:A7:AB:83,-61,4
toilet sebelah wakil rektorat (LT4),06:70:AB:A7:AB:83,-65,4
toilet sebelah wakil rektorat (LT4),06:70:AB:A7:AB:83,-62,4
toilet sebelah wakil rektorat (LT4),06:70:AB:A7:AB:83,-60,4
toilet sebelah wakil rektorat (LT4),06:70:AB:A7:AB:83,-69,4
toilet sebelah wakil rektorat (LT4),06:70:AB:A7:AB:83,-62,4
toilet sebelah wakil rektorat (LT4),06:70:AB:A7:AB:83,-61,4
