Ruangan,mac,RSSI,Lantai
Lorong BMN (LT2),06:0D:9E:A8:8E:6C,-61,2
Lorong BMN (LT2),06:0D:9E:A8:8E:6C,-58,2
Lorong BMN (LT2),06:0D:9E:A8:8E:6C,-55,2
Lorong BMN (LT2),06:0D:9E:A8:8E:6C,-56,2
Lorong BMN (LT2),06:0D:9E:A8:8E:6C,-57,2
Lorong BMN (LT2),06:0D:9E:A8:8E:6C,-58,2
Lorong BMN (LT2),06:0D:9E:A8:8E:6C,-63,2
Lorong BMN (LT2),06:0D:9E:A8:8E:6C,-57,2
Lorong BMN (LT2),06:0D:9E:A8:8E:6C,-63,2
Ruang kabag umum (LT2),06:0D:9E:A8:8E:6D,-82,2
Ruang kabag umum (LT2),06:0D:9E:A8:8E:6D,-86,2
Ruang kabag umum (LT2),06:0D:9E:A8:8E:6D,-84,2
Ruang kabag umum (LT2),06:0D:9E:A8:8E:6D,-85,2
Ruang kabag umum (LT2),06:0D:9E:A8:8E:6D,-79,2
Ruang kabag umum (LT2),06:0D:9E:A8:8E:6D,-79,2
Ruang kabag umum (LT2),06:0D:9E:A8:8E:6D,-79,2
Ruang kabag umum (LT2),06:0D:9E:A8:8E:6D,-77,2
Ruang kabag umum (LT2),06:0D:9E:A8:8E:6D,-81,2
Ruang kabag umum (LT2),06:0D:9E:A8:8E:6D,-84,2
Ruang kabag umum (LT2),06:0D:9E:A8:8E:6D,-87,2
Sekretaris lppm (LT3),06:0D:9E:A8:8B:7D,-49,3
Sekretaris lppm (LT3),06:0D:9E:A8:8B:7D,-47,3
Sekretaris lppm (LT3),06:0D:9E:A8:8B:7D,-54,3
Sekretaris lppm (LT3),06:0D:9E:A8:8B:7D,-53,3
Sekretaris lppm (LT3),06:0D:9E:A8:8B:7D,-49,3
Sekretaris lppm (LT3),06:0D:9E:A8:8B:7D,-45,3
Sekretaris lppm (LT3),06:0D:9E:A8:8B:7D,-54,3
Sekretaris lppm (LT3),06:0D:9E:A8:8B:7D,-45,3
Sekretaris lppm (LT3),06:0D:9E:A8:8B:7D,-47,3
Sekretaris lppm (LT3),06:0D:9E:A8:8B:7D,-50,3
Sekretaris lppm (LT3),06:0D:9E:A8:8B:7D,-53,3
Toilet 1 samping kepala biro (LT2),06:0D:9E:A8:8E:6D,-67,2
Toilet 1 samping kepala biro (LT2),06:0D:9E:A8:8E:6D,-68,2
Toilet 1 samping kepala biro (LT2),06:0D:9E:A8:8E:6D,-64,2
Toilet 1 samping kepala biro (LT2),06:0D:9E:A8:8E:6D,-72,2
Toilet 1 samping kepala biro (LT2),06:0D:9E:A8:8E:6D,-68,2
Toilet 1 samping kepala biro (LT2),06:0D:9E:A8:8E:6D,-62,2
Toilet 1 samping kepala biro (LT2),06:0D:9E:A8:8E:6D,-67,2
Toilet 1 samping kepala biro (LT2),06:0D:9E:A8:8E:6D,-66,2
Toilet 1 samping kepala biro (LT2),06:0D:9E:A8:8E:6D,-63,2
Toilet 1 samping kepala biro (LT2),06:0D:9E:A8:8E:6D,-69,2
Toilet 1 samping kepala biro (LT2),06:0D:9E:A8:8E:6D,-67,2
area pintu depan (LT2),06:0D:9E:A8:8E:69,-69,2
area pintu depan (LT2),06:0D:9E:A8:8E:69,-71,2
area pintu depan (LT2),06:0D:9E:A8:8E:69,-69,2
area pintu depan (LT2),06:0D:9E:A8:8E:69,-66,2
area pintu depan (LT2),06:0D:9E:A8:8E:69,-72,2
area pintu depan (LT2),06:0D:9E:A8:8E:69,-64,2
area pintu depan (LT2),06:0D:9E:A8:8E:69,-65,2
area pintu depan (LT2),06:0D:9E:A8:8E:69,-74,2
area pintu depan (LT2),06:0D:9E:A8:8E:69,-64,2
area pintu depan (LT2),06:0D:9E:A8:8E:69,-68,2
area pintu depan (LT2),06:0D:9E:A8:8E:69,-74,2
area tunggu depan lift (LT1),06:0D:9E:A8:8E:69,-52,1
area tunggu depan lift (LT1),06:0D:9E:A8:8E:69,-57,1
area tunggu depan lift (LT1),06:0D:9E:A8:8E:69,-57,1
area tunggu depan lift (LT1),06:0D:9E:A8:8E:69,-53,1
area tunggu depan lift (LT1),06:0D:9E:A8:8E:69,-51,1
area tunggu depan lift (LT1),06:0D:9E:A8:8E:69,-49,1
area tunggu depan lift (LT1),06:0D:9E:A8:8E:69,-47,1
area tunggu depan lift (LT1),06:0D:9E:A8:8E:69,-48,1
area tunggu depan lift (LT1),06:0D:9E:A8:8E:69,-56,1
area tunggu depan lift (LT1),06:0D:9E:A8:8E:69,-55,1
area tunggu depan lift (LT1),06:0D:9E:A8:8E:69,-50,1
depan lift 2 (LT2),06:70:AB:A7:AB:8B,-53,2
depan lift 2 (LT2),06:70:AB:A7:AB:8B,-53,2
depan lift 2 (LT2),06:70:AB:A7:AB:8B,-52,2
depan lift 2 (LT2),06:70:AB:A7:AB:8B,-53,2
depan lift 2 (LT2),06:70:AB:A7:AB:8B,-48,2
depan lift 2 (LT2),06:70:AB:A7:AB:8B,-54,2
depan lift 2 (LT2),06:70:AB:A7:AB:8B,-54,2
depan lift 2 (LT2),06:70:AB:A7:AB:8B,-53,2
depan lift 2 (LT2),06:70:AB:A7:AB:8B,-58,2
depan lift 2 (LT2),06:70:AB:A7:AB:8B,-55,2
depan lift 2 (LT2),06:70:AB:A7:AB:8B,-52,2
kamar mandi belakang (LT1),06:0D:9E:A8:8A:98,-56,1
kamar mandi belakang (LT1),06:0D:9E:A8:8A:98,-57,1
kamar mandi belakang (LT1),06:0D:9E:A8:8A:98,-52,1
kamar mandi belakang (LT1),06:0D:9E:A8:8A:98,-53,1
kamar mandi belakang (LT1),06:0D:9E:A8:8A:98,-52,1
kamar mandi belakang (LT1),06:0D:9E:A8:8A:98,-57,1
kamar mandi belakang (LT1),06:0D:9E:A8:8A:98,-56,1
kamar mandi belakang (LT1),06:0D:9E:A8:8A:98,-61,1
kamar mandi belakang (LT1),06:0D:9E:A8:8A:98,-52,1
kamar mandi belakang (LT1),06:0D:9E:A8:8A:98,-56,1
kamar mandi belakang (LT1),06:0D:9E:A8:8A:98,-58,1
lift  (LT4),2A:D0:F5:9B:E3:13,-71,4
lift  (LT4),2A:D0:F5:9B:E3:13,-66,4
lift  (LT4),2A:D0:F5:9B:E3:13,-76,4
lift  (LT4),2A:D0:F5:9B:E3:13,-76,4
lift  (LT4),2A:D0:F5:9B:E3:13,-71,4
lift  (LT4),2A:D0:F5:9B:E3:13,-76,4
lift  (LT4),2A:D0:F5:9B:E3:13,-72,4
lift  (LT4),2A:D0:F5:9B:E3:13,-70,4
lift  (LT4),2A:D0:F5:9B:E3:13,-66,4
lift  (LT4),2A:D0:F5:9B:E3:13,-71,4
lift  (LT4),2A:D0:F5:9B:E3:13,-68,4
lift belakang biro perencanaan (LT2),06:70:AB:A7:AB:8B,-46,2
lift belakang biro perencanaan (LT2),06:70:AB:A7:AB:8B,-47,2
lift belakang biro perencanaan (LT2),06:70:AB:A7:AB:8B,-42,2
lift belakang biro perencanaan (LT2),06:70:AB:A7:AB:8B,-47,2
lift belakang biro perencanaan (LT2),06:70:AB:A7:AB:8B,-50,2
lift belakang biro perencanaan (LT2),06:70:AB:A7:AB:8B,-48,2
lift belakang biro perencanaan (LT2),06:70:AB:A7:AB:8B,-48,2
lift belakang biro perencanaan (LT2),06:70:AB:A7:AB:8B,-43,2
lift belakang biro perencanaan (LT2),06:70:AB:A7:AB:8B,-41,2
lift belakang biro perencanaan (LT2),06:70:AB:A7:AB:8B,-50,2
lift belakang biro perencanaan (LT2),06:70:AB:A7:AB:8B,-50,2
loby tengah (LT1),06:0D:9E:25:7B:0A,-71,1
loby tengah (LT1),06:0D:9E:25:7B:0A,-66,1
loby tengah (LT1),06:0D:9E:25:7B:0A,-68,1
loby tengah (LT1),06:0D:9E:25:7B:0A,-70,1
loby tengah (LT1),06:0D:9E:25:7B:0A,-74,1
loby tengah (LT1),06:0D:9E:25:7B:0A,-69,1
loby tengah (LT1),06:0D:9E:25:7B:0A,-76,1
loby tengah (LT1),06:0D:9E:25:7B:0A,-72,1
loby tengah (LT1),06:0D:9E:25:7B:0A,-66,1
loby tengah (LT1),06:0D:9E:25:7B:0A,-69,1
loby tengah (LT1),06:0D:9E:25:7B:0A,-74,1
lorong guad (LT4),06:0D:9E:25:7B:32,-53,4
lorong guad (LT4),06:0D:9E:25:7B:32,-53,4
lorong guad (LT4),06:0D:9E:25:7B:32,-57,4
lorong guad (LT4),06:0D:9E:25:7B:32,-53,4
lorong guad (LT4),06:0D:9E:25:7B:32,-58,4
lorong guad (LT4),06:0D:9E:25:7B:32,-48,4
lorong guad (LT4),06:0D:9E:25:7B:32,-53,4
lorong guad (LT4),06:0D:9E:25:7B:32,-55,4
lorong guad (LT4),06:0D:9E:25:7B:32,-56,4
lorong guad (LT4),06:0D:9E:25:7B:32,-51,4
lorong guad (LT4),06:0D:9E:25:7B:32,-55,4
lorong kamar mandi depan (LT1),06:0D:9E:A8:8E:A5,-59,1
lorong kamar mandi depan (LT1),06:0D:9E:A8:8E:A5,-56,1
lorong kamar mandi depan (LT1),06:0D:9E:A8:8E:A5,-56,1
lorong kamar mandi depan (LT1),06:0D:9E:A8:8E:A5,-59,1
lorong kamar mandi depan (LT1),06:0D:9E:A8:8E:A5,-61,1
lorong kamar mandi depan (LT1),06:0D:9E:A8:8E:A5,-62,1
lorong kamar mandi depan (LT1),06:0D:9E:A8:8E:A5,-63,1
lorong kamar mandi depan (LT1),06:0D:9E:A8:8E:A5,-56,1
lorong kamar mandi depan (LT1),06:0D:9E:A8:8E:A5,-63,1
lorong kamar mandi depan (LT1),06:0D:9E:A8:8E:A5,-64,1
lorong kamar mandi depan (LT1),06:0D:9E:A8:8E:A5,-64,1
lorong kepegawaian (LT2),06:0D:9E:A8:8A:5D,-59,2
lorong kepegawaian (LT2),06:0D:9E:A8:8A:5D,-57,2
lorong kepegawaian (LT2),06:0D:9E:A8:8A:5D,-61,2
lorong kepegawaian (LT2),06:0D:9E:A8:8A:5D,-61,2
lorong kepegawaian (LT2),06:0D:9E:A8:8A:5D,-62,2
lorong kepegawaian (LT2),06:0D:9E:A8:8A:5D,-62,2
lorong kepegawaian (LT2),06:0D:9E:A8:8A:5D,-55,2
lorong kepegawaian (LT2),06:0D:9E:A8:8A:5D,-59,2
lorong kepegawaian (LT2),06:0D:9E:A8:8A:5D,-55,2
lorong kepegawaian (LT2),06:0D:9E:A8:8A:5D,-60,2
lorong kepegawaian (LT2),06:0D:9E:A8:8A:5D,-56,2
lorong keuangan (LT2),06:0D:9E:25:76:6D,-49,2
lorong keuangan (LT2),06:0D:9E:25:76:6D,-52,2
lorong keuangan (LT2),06:0D:9E:25:76:6D,-51,2
lorong keuangan (LT2),06:0D:9E:25:76:6D,-45,2
lorong keuangan (LT2),06:0D:9E:25:76:6D,-52,2
lorong keuangan (LT2),06:0D:9E:25:76:6D,-48,2
lorong keuangan (LT2),06:0D:9E:25:76:6D,-49,2
lorong keuangan (LT2),06:0D:9E:25:76:6D,-47,2
lorong keuangan (LT2),06:0D:9E:25:76:6D,-52,2
lorong keuangan (LT2),06:0D:9E:25:76:6D,-53,2
lorong keuangan (LT2),06:0D:9E:25:76:6D,-48,2
lorong perencanaan (LT1),06:0D:9E:25:7B:19,-73,1
lorong perencanaan (LT1),06:0D:9E:25:7B:19,-77,1
lorong perencanaan (LT1),06:0D:9E:25:7B:19,-70,1
lorong perencanaan (LT1),06:0D:9E:25:7B:19,-71,1
lorong perencanaan (LT1),06:0D:9E:25:7B:19,-78,1
lorong perencanaan (LT1),06:0D:9E:25:7B:19,-76,1
lorong perencanaan (LT1),06:0D:9E:25:7B:19,-72,1
lorong perencanaan (LT1),06:0D:9E:25:7B:19,-69,1
lorong perencanaan (LT1),06:0D:9E:25:7B:19,-69,1
lorong perencanaan (LT1),06:0D:9E:25:7B:19,-73,1
lorong perencanaan (LT1),06:0D:9E:25:7B:19,-68,1
lorong satuan pengawas internal (LT3),06:70:AB:A7:AB:7B,-51,3
lorong satuan pengawas internal (LT3),06:70:AB:A7:AB:7B,-55,3
lorong satuan pengawas internal (LT3),06:70:AB:A7:AB:7B,-46,3
lorong satuan pengawas internal (LT3),06:70:AB:A7:AB:7B,-51,3
lorong satuan pengawas internal (LT3),06:70:AB:A7:AB:7B,-46,3
lorong satuan pengawas internal (LT3),06:70:AB:A7:AB:7B,-56,3
lorong satuan pengawas internal (LT3),06:70:AB:A7:AB:7B,-48,3
lorong satuan pengawas internal (LT3),06:70:AB:A7:AB:7B,-46,3
lorong satuan pengawas internal (LT3),06:70:AB:A7:AB:7B,-46,3
lorong satuan pengawas internal (LT3),06:70:AB:A7:AB:7B,-49,3
lorong satuan pengawas internal (LT3),06:70:AB:A7:AB:7B,-46,3
lpmpp pembelajaran (LT3),06:0D:9E:25:7B:0A,-63,3
lpmpp pembelajaran (LT3),06:0D:9E:25:7B:0A,-66,3
lpmpp pembelajaran (LT3),06:0D:9E:25:7B:0A,-58,3
lpmpp pembelajaran (LT3),06:0D:9E:25:7B:0A,-63,3
lpmpp pembelajaran (LT3),06:0D:9E:25:7B:0A,-68,3
lpmpp pembelajaran (LT3),06:0D:9E:25:7B:0A,-62,3
lpmpp pembelajaran (LT3),06:0D:9E:25:7B:0A,-68,3
lpmpp pembelajaran (LT3),06:0D:9E:25:7B:0A,-63,3
lpmpp pembelajaran (LT3),06:0D:9E:25:7B:0A,-62,3
lpmpp pembelajaran (LT3),06:0D:9E:25:7B:0A,-66,3
lpmpp pembelajaran (LT3),06:0D:9E:25:7B:0A,-66,3
pintu belakang (LT1),06:70:AB:A7:AB:8A,-66,1
pintu belakang (LT1),06:70:AB:A7:AB:8A,-69,1
pintu belakang (LT1),06:70:AB:A7:AB:8A,-67,1
pintu belakang (LT1),06:70:AB:A7:AB:8A,-71,1
pintu belakang (LT1),06:70:AB:A7:AB:8A,-61,1
pintu belakang (LT1),06:70:AB:A7:AB:8A,-69,1
pintu belakang (LT1),06:70:AB:A7:AB:8A,-61,1
pintu belakang (LT1),06:70:AB:A7:AB:8A,-69,1
pintu belakang (LT1),06:70:AB:A7:AB:8A,-65,1
pintu belakang (LT1),06:70:AB:A7:AB:8A,-62,1
pintu belakang (LT1),06:70:AB:A7:AB:8A,-64,1
rapat lpmpp (LT1),06:0D:9E:A8:88:D5,-68,1
rapat lpmpp (LT1),06:0D:9E:A8:88:D5,-64,1
rapat lpmpp (LT1),06:0D:9E:A8:88:D5,-71,1
rapat lpmpp (LT1),06:0D:9E:A8:88:D5,-64,1
rapat lpmpp (LT1),06:0D:9E:A8:88:D5,-67,1
rapat lpmpp (LT1),06:0D:9E:A8:88:D5,-71,1
rapat lpmpp (LT1),06:0D:9E:A8:88:D5,-63,1
rapat lpmpp (LT1),06:0D:9E:A8:88:D5,-65,1
rapat lpmpp (LT1),06:0D:9E:A8:88:D5,-72,1
rapat lpmpp (LT1),06:0D:9E:A8:88:D5,-63,1
rapat lpmpp (LT1),06:0D:9E:A8:88:D5,-72,1
ruang pertemuan (LT4),2A:D0:F5:9B:E3:13,-64,4
ruang pertemuan (LT4),2A:D0:F5:9B:E3:13,-60,4
ruang pertemuan (LT4),2A:D0:F5:9B:E3:13,-69,4
ruang pertemuan (LT4),2A:D0:F5:9B:E3:13,-60,4
ruang pertemuan (LT4),2A:D0:F5:9B:E3:13,-62,4
ruang pertemuan (LT4),2A:D0:F5:9B:E3:13,-62,4
ruang pertemuan (LT4),2A:D0:F5:9B:E3:13,-61,4
ruang pertemuan (LT4),2A:D0:F5:9B:E3:13,-61,4
ruang pertemuan (LT4),2A:D0:F5:9B:E3:13,-61,4
ruang pertemuan (LT4),2A:D0:F5:9B:E3:13,-69,4
ruang pertemuan (LT4),2A:D0:F5:9B:E3:13,-63,4
ruang wakil rektor 1 (LT4),EA:D0:F5:9B:F4:2F,-58,4
ruang wakil rektor 1 (LT4),EA:D0:F5:9B:F4:2F,-54,4
ruang wakil rektor 1 (LT4),EA:D0:F5:9B:F4:2F,-63,4
ruang wakil rektor 1 (LT4),EA:D0:F5:9B:F4:2F,-55,4
ruang wakil rektor 1 (LT4),EA:D0:F5:9B:F4:2F,-59,4
ruang wakil rektor 1 (LT4),EA:D0:F5:9B:F4:2F,-59,4
ruang wakil rektor 1 (LT4),EA:D0:F5:9B:F4:2F,-61,4
ruang wakil rektor 1 (LT4),EA:D0:F5:9B:F4:2F,-59,4
ruang wakil rektor 1 (LT4),EA:D0:F5:9B:F4:2F,-57,4
ruang wakil rektor 1 (LT4),EA:D0:F5:9B:F4:2F,-62,4
ruang wakil rektor 1 (LT4),EA:D0:F5:9B:F4:2F,-60,4
ruang wakil rektor 3 (LT4),06:70:AB:A7:AA:B3,-64,4
ruang wakil rektor 3 (LT4),06:70:AB:A7:AA:B3,-60,4
ruang wakil rektor 3 (LT4),06:70:AB:A7:AA:B3,-60,4
ruang wakil rektor 3 (LT4),06:70:AB:A7:AA:B3,-59,4
ruang wakil rektor 3 (LT4),06:70:AB:A7:AA:B3,-64,4
ruang wakil rektor 3 (LT4),06:70:AB:A7:AA:B3,-61,4
ruang wakil rektor 3 (LT4),06:70:AB:A7:AA:B3,-64,4
ruang wakil rektor 3 (LT4),06:70:AB:A7:AA:B3,-65,4
ruang wakil rektor 3 (LT4),06:70:AB:A7:AA:B3,-65,4
ruang wakil rektor 3 (LT4),06:70:AB:A7:AA:B3,-61,4
ruang wakil rektor 3 (LT4),06:70:AB:A7:AA:B3,-59,4
ruang wakil rektor 4 (LT4),06:0D:9E:25:7A:DE,-64,4
ruang wakil rektor 4 (LT4),06:0D:9E:25:7A:DE,-60,4
ruang wakil rektor 4 (LT4),06:0D:9E:25:7A:DE,-60,4
ruang wakil rektor 4 (LT4),06:0D:9E:25:7A:DE,-69,4
ruang wakil rektor 4 (LT4),06:0D:9E:25:7A:DE,-60,4
ruang wakil rektor 4 (LT4),06:0D:9E:25:7A:DE,-59,4
ruang wakil rektor 4 (LT4),06:0D:9E:25:7A:DE,-60,4
ruang wakil rektor 4 (LT4),06:0D:9E:25:7A:DE,-59,4
ruang wakil rektor 4 (LT4),06:0D:9E:25:7A:DE,-64,4
ruang wakil rektor 4 (LT4),06:0D:9E:25:7A:DE,-63,4
ruang wakil rektor 4 (LT4),06:0D:9E:25:7A:DE,-59,4
ruang wakil rektorat (LT4),06:70:AB:A7:AA:FF,-62,4
ruang wakil rektorat (LT4),06:70:AB:A7:AA:FF,-63,4
ruang wakil rektorat (LT4),06:70:AB:A7:AA:FF,-60,4
ruang wakil rektorat (LT4),06:70:AB:A7:AA:FF,-58,4
ruang wakil rektorat (LT4),06:70:AB:A7:AA:FF,-62,4
ruang wakil rektorat (LT4),06:70:AB:A7:AA:FF,-62,4
ruang wakil rektorat (LT4),06:70:AB:A7:AA:FF,-62,4
ruang wakil rektorat (LT4),06:70:AB:A7:AA:FF,-57,4
ruang wakil rektorat (LT4),06:70:AB:A7:AA:FF,-66,4
ruang wakil rektorat (LT4),06:70:AB:A7:AA:FF,-60,4
ruang wakil rektorat (LT4),06:70:AB:A7:AA:FF,-62,4
ruangan rapat besar (LT4),EA:D0:F5:9B:F4:2F,-51,4
ruangan rapat besar (LT4),EA:D0:F5:9B:F4:2F,-56,4
ruangan rapat besar (LT4),EA:D0:F5:9B:F4:2F,-51,4
ruangan rapat besar (LT4),EA:D0:F5:9B:F4:2F,-46,4
ruangan rapat besar (LT4),EA:D0:F5:9B:F4:2F,-48,4
ruangan rapat besar (LT4),EA:D0:F5:9B:F4:2F,-56,4
ruangan rapat besar (LT4),EA:D0:F5:9B:F4:2F,-55,4
ruangan rapat besar (LT4),EA:D0:F5:9B:F4:2F,-50,4
ruangan rapat besar (LT4),EA:D0:F5:9B:F4:2F,-56,4
ruangan rapat besar (LT4),EA:D0:F5:9B:F4:2F,-55,4
ruangan rapat besar (LT4),EA:D0:F5:9B:F4:2F,-48,4
sekretaris (LT4),06:70:AB:A7:AA:B2,-69,4
sekretaris (LT4),06:70:AB:A7:AA:B2,-71,4
sekretaris (LT4),06:70:AB:A7:AA:B2,-65,4
sekretaris (LT4),06:70:AB:A7:AA:B2,-71,4
sekretaris (LT4),06:70:AB:A7:AA:B2,-65,4
sekretaris (LT4),06:70:AB:A7:AA:B2,-74,4
sekretaris (LT4),06:70:AB:A7:AA:B2,-69,4
sekretaris (LT4),06:70:AB:A7:AA:B2,-71,4
sekretaris (LT4),06:70:AB:A7:AA:B2,-64,4
sekretaris (LT4),06:70:AB:A7:AA:B2,-73,4
sekretaris (LT4),06:70:AB:A7:AA:B2,-67,4
staf lpmpp (LT3),06:0D:9E:25:7B:32,-75,3
staf lpmpp (LT3),06:0D:9E:25:7B:32,-70,3
staf lpmpp (LT3),06:0D:9E:25:7B:32,-70,3
staf lpmpp (LT3),06:0D:9E:25:7B:32,-80,3
staf lpmpp (LT3),06:0D:9E:25:7B:32,-72,3
staf lpmpp (LT3),06:0D:9E:25:7B:32,-72,3
staf lpmpp (LT3),06:0D:9E:25:7B:32,-80,3
staf lpmpp (LT3),06:0D:9E:25:7B:32,-71,3
staf lpmpp (LT3),06:0D:9E:25:7B:32,-76,3
staf lpmpp (LT3),06:0D:9E:25:7B:32,-80,3
staf lpmpp (LT3),06:0D:9E:25:7B:32,-71,3
toilet  (LT3),06:70:AB:A7:AB:87,-60,3
toilet  (LT3),06:70:AB:A7:AB:87,-58,3
toilet  (LT3),06:70:AB:A7:AB:87,-61,3
toilet  (LT3),06:70:AB:A7:AB:87,-59,3
toilet  (LT3),06:70:AB:A7:AB:87,-57,3
toilet  (LT3),06:70:AB:A7:AB:87,-62,3
toilet  (LT3),06:70:AB:A7:AB:87,-58,3
toilet  (LT3),06:70:AB:A7:AB:87,-60,3
toilet  (LT3),06:70:AB:A7:AB:87,-64,3
toilet  (LT3),06:70:AB:A7:AB:87,-55,3
toilet  (LT3),06:70:AB:A7:AB:87,-60,3
toilet sebelah wakil rektorat (LT4),06:70:AB:A7:AB:83,-63,4
toilet sebelah wakil rektorat (LT4),06:70:AB:A7:AB:83,-60,4
toilet sebelah wakil rektorat (LT4),06:70:AB:A7:AB:83,-63,4
toilet sebelah wakil rektorat (LT4),06:70:AB:A7:AB:83,-68,4
toilet sebelah wakil rektorat (LT4),06:70:AB:A7:AB:83,-66,4
toilet sebelah wakil rektorat (LT4),06:70:AB:A7:AB:83,-65,4
toilet sebelah wakil rektorat (LT4),06:70:AB:A7:AB:83,-66,4
toilet sebelah wakil rektorat (LT4),06:70:AB:A7:AB:83,-60,4
toilet sebelah wakil rektorat (LT4),06:70:AB:A7:AB:83,-68,4
toilet sebelah wakil rektorat (LT4),06:70:AB:A7:AB:83,-67,4
toilet sebelah wakil rektorat (LT4),06:70:AB:A7:AB:83,-62,4
